id,date,deep_sleep_time,shallow_sleep_time,sleep_time,bed_time,wake_time
6,2017-10-26,0,0,0,0,0
6,2017-11-03,0,0,0,0,0
6,2018-01-18,0,0,0,0,0
6,2018-04-20,0,0,0,0,0
6,2018-06-02,0,0,0,0,0
6,2018-06-03,144,210,354,354,0
6,2018-06-04,162,150,312,312,0
6,2018-06-06,0,0,0,0,0
6,2018-06-07,118,201,319,319,0
6,2018-06-08,143,253,396,396,0
6,2018-06-09,82,190,272,306,34
6,2018-06-10,168,290,458,458,0
6,2018-06-11,159,275,434,434,0
6,2018-06-12,128,226,354,354,0
6,2018-06-13,132,324,456,456,0
6,2018-06-14,203,295,498,506,8
6,2018-06-15,85,293,378,378,0
6,2018-06-16,160,211,371,371,0
6,2018-06-17,119,263,382,382,0
6,2018-06-18,188,312,500,502,2
6,2018-06-19,33,127,160,160,0
6,2018-06-20,127,375,502,502,0
6,2018-06-21,145,248,393,393,0
6,2018-06-22,194,273,467,467,0
6,2018-06-23,110,224,334,334,0
6,2018-06-24,146,332,478,478,0
6,2018-06-25,163,346,509,509,0
6,2018-06-26,169,277,446,446,0
6,2018-06-27,130,222,352,352,0
6,2018-06-28,182,431,613,613,0
6,2018-06-29,140,273,413,413,0
6,2018-06-30,224,339,563,585,22
6,2018-07-01,192,291,483,483,0
6,2018-07-02,138,397,535,535,0
6,2018-07-03,148,290,438,438,0
6,2018-07-04,129,255,384,384,0
6,2018-07-05,196,200,396,396,0
6,2018-07-06,119,309,428,428,0
6,2018-07-07,127,283,410,410,0
6,2018-07-08,218,297,515,515,0
6,2018-07-09,0,0,0,0,0
6,2018-07-10,117,262,379,379,0
6,2018-07-11,104,253,357,357,0
6,2018-07-12,167,194,361,361,0
6,2018-07-13,208,266,474,474,0
6,2018-07-14,152,215,367,367,0
6,2018-07-15,182,261,443,443,0
6,2018-07-16,54,211,265,267,2
6,2018-07-17,165,304,469,469,0
6,2018-07-18,67,243,310,310,0
6,2018-07-19,206,337,543,543,0
6,2018-07-20,114,401,515,586,71
6,2018-07-21,149,381,530,530,0
6,2018-07-22,143,340,483,483,0
6,2018-07-23,88,297,385,385,0
6,2018-07-24,158,391,549,549,0
6,2018-07-25,145,297,442,468,26
6,2018-07-26,215,319,534,549,15
6,2018-07-27,231,287,518,518,0
6,2018-07-28,161,291,452,452,0
6,2018-07-29,166,289,455,470,15
6,2018-07-30,107,265,372,372,0
6,2018-07-31,164,317,481,481,0
6,2018-08-01,142,291,433,452,19
6,2018-08-02,184,333,517,517,0
6,2018-08-03,102,245,347,347,0
6,2018-08-04,152,254,406,406,0
6,2018-08-05,177,374,551,551,0
6,2018-08-06,0,318,318,318,0
6,2018-08-07,211,335,546,546,0
6,2018-08-08,55,247,302,302,0
6,2018-08-09,197,261,458,458,0
6,2018-08-10,140,306,446,446,0
6,2018-08-11,176,351,527,527,0
6,2018-08-12,199,355,554,554,0
6,2018-08-13,167,257,424,424,0
6,2018-08-14,136,323,459,459,0
6,2018-08-15,130,264,394,394,0
6,2018-08-16,128,163,291,291,0
6,2018-08-17,0,373,373,373,0
6,2018-08-18,195,226,421,421,0
6,2018-08-19,140,231,371,371,0
6,2018-08-20,103,279,382,382,0
6,2018-08-21,220,209,429,429,0
6,2018-08-22,180,239,419,419,0
6,2018-08-23,121,244,365,365,0
6,2018-08-24,170,328,498,498,0
6,2018-08-25,111,252,363,363,0
6,2018-08-26,141,332,473,473,0
6,2018-08-27,159,264,423,423,0
6,2018-08-28,161,220,381,381,0
6,2018-08-29,118,300,418,418,0
6,2018-08-30,248,348,596,641,45
6,2018-08-31,149,281,430,430,0
6,2018-09-01,114,315,429,429,0
6,2018-09-02,160,277,437,437,0
6,2018-09-03,111,297,408,408,0
6,2018-09-04,91,413,504,504,0
6,2018-09-05,164,228,392,392,0
6,2018-09-06,127,238,365,365,0
6,2018-09-07,228,250,478,478,0
6,2018-09-08,172,356,528,528,0
6,2018-09-09,119,312,431,431,0
6,2018-09-10,169,297,466,466,0
6,2018-09-11,123,378,501,501,0
6,2018-09-12,155,289,444,444,0
6,2018-09-13,195,311,506,506,0
6,2018-09-14,164,344,508,510,2
6,2018-09-15,119,251,370,370,0
6,2018-09-16,108,427,535,535,0
6,2018-09-17,102,251,353,353,0
6,2018-09-18,113,281,394,394,0
6,2018-09-19,155,334,489,489,0
6,2018-09-20,181,263,444,444,0
6,2018-09-21,124,298,422,422,0
6,2018-09-22,107,382,489,489,0
6,2018-09-23,197,329,526,526,0
6,2018-09-24,180,361,541,541,0
6,2018-09-25,131,237,368,368,0
6,2018-09-26,189,246,435,435,0
6,2018-09-27,107,294,401,401,0
6,2018-09-28,133,335,468,468,0
6,2018-09-29,119,199,318,318,0
6,2018-09-30,115,260,375,375,0
6,2018-10-01,154,261,415,415,0
6,2018-10-02,123,274,397,397,0
6,2018-10-03,125,263,388,388,0
6,2018-10-04,129,190,319,319,0
6,2018-10-05,127,380,507,507,0
6,2018-10-06,109,312,421,421,0
6,2018-10-07,165,386,551,551,0
6,2018-10-08,143,328,471,471,0
6,2018-10-09,111,255,366,366,0
6,2018-10-10,118,297,415,415,0
6,2018-10-11,123,292,415,415,0
6,2018-10-12,149,238,387,387,0
6,2018-10-13,195,291,486,486,0
6,2018-10-14,135,213,348,370,22
6,2018-10-15,159,257,416,416,0
6,2018-10-16,111,405,516,516,0
6,2018-10-17,180,275,455,455,0
6,2018-10-18,175,352,527,527,0
6,2018-10-19,121,268,389,389,0
6,2018-10-20,0,0,0,0,0
6,2018-10-21,129,400,529,529,0
6,2018-10-22,191,314,505,505,0
6,2018-10-23,168,274,442,442,0
6,2018-10-24,141,297,438,438,0
6,2018-10-25,132,373,505,505,0
6,2018-10-26,146,284,430,430,0
6,2018-10-27,146,306,452,452,0
6,2018-10-28,175,352,527,527,0
6,2018-10-29,122,372,494,494,0
6,2018-10-30,113,316,429,429,0
6,2018-10-31,124,272,396,396,0
6,2018-11-01,124,341,465,465,0
6,2018-11-02,165,301,466,466,0
6,2018-11-03,59,447,506,506,0
6,2018-11-04,206,311,517,517,0
6,2018-11-05,70,397,467,467,0
6,2018-11-06,131,264,395,395,0
6,2018-11-07,60,287,347,347,0
6,2018-11-08,275,386,661,661,0
6,2018-11-09,99,280,379,379,0
6,2018-11-10,157,233,390,390,0
6,2018-11-11,172,266,438,438,0
6,2018-11-12,119,334,453,453,0
6,2018-11-13,187,371,558,558,0
6,2018-11-14,132,334,466,466,0
6,2018-11-15,151,294,445,445,0
6,2018-11-16,169,271,440,440,0
6,2018-11-17,125,322,447,449,2
6,2018-11-18,140,287,427,427,0
6,2018-11-19,84,324,408,408,0
6,2018-11-20,110,263,373,373,0
6,2018-11-21,120,323,443,443,0
6,2018-11-22,155,280,435,435,0
6,2018-11-23,149,250,399,399,0
6,2018-11-24,123,317,440,440,0
6,2018-11-25,139,316,455,455,0
6,2018-11-26,134,344,478,478,0
6,2018-11-27,203,313,516,516,0
6,2018-11-28,90,241,331,333,2
6,2018-11-29,107,339,446,446,0
6,2018-11-30,156,344,500,500,0
6,2018-12-01,216,356,572,572,0
6,2018-12-02,108,283,391,393,2
6,2018-12-03,116,342,458,458,0
6,2018-12-04,192,243,435,435,0
6,2018-12-05,130,339,469,471,2
6,2018-12-06,192,250,442,442,0
6,2018-12-07,0,0,0,0,0
6,2018-12-08,0,0,0,0,0
6,2018-12-09,0,0,0,0,0
6,2018-12-10,0,0,0,0,0
6,2018-12-11,0,0,0,0,0
6,2018-12-12,0,0,0,0,0
6,2018-12-13,0,0,0,0,0
6,2018-12-14,0,0,0,0,0
6,2018-12-15,0,0,0,0,0
6,2018-12-16,0,0,0,0,0
6,2018-12-17,0,0,0,0,0
6,2018-12-18,0,0,0,0,0
6,2018-12-19,0,0,0,0,0
6,2018-12-20,0,0,0,0,0
6,2018-12-21,0,0,0,0,0
6,2018-12-22,0,0,0,0,0
6,2018-12-23,0,0,0,0,0
6,2018-12-24,0,0,0,0,0
6,2019-01-09,0,0,0,0,0
6,2019-01-10,0,0,0,0,0
6,2019-01-11,0,0,0,0,0
6,2019-01-12,0,0,0,0,0
6,2019-01-13,0,0,0,0,0
6,2019-01-14,0,0,0,0,0
6,2019-01-15,0,0,0,0,0
6,2019-01-16,0,0,0,0,0
6,2019-01-17,0,0,0,0,0
6,2019-01-18,0,0,0,0,0
6,2019-01-19,0,0,0,0,0
6,2019-01-20,0,0,0,0,0
6,2019-01-21,0,0,0,0,0
6,2019-01-22,0,0,0,0,0
6,2019-01-23,0,0,0,0,0
6,2019-01-24,0,0,0,0,0
6,2019-01-25,0,0,0,0,0
6,2019-01-26,0,0,0,0,0
6,2019-01-27,0,0,0,0,0
6,2019-01-28,0,0,0,0,0
6,2019-01-29,0,0,0,0,0
6,2019-01-30,0,0,0,0,0
6,2019-01-31,0,0,0,0,0
6,2019-02-01,0,0,0,0,0
6,2019-02-02,0,0,0,0,0
6,2019-02-03,0,0,0,0,0
6,2019-02-04,0,0,0,0,0
6,2019-02-05,0,0,0,0,0
6,2019-02-06,0,0,0,0,0
6,2019-02-07,0,0,0,0,0
6,2019-02-08,0,0,0,0,0
6,2019-02-09,0,0,0,0,0
6,2019-02-10,0,0,0,0,0
6,2019-02-11,0,0,0,0,0
6,2019-02-12,0,0,0,0,0
6,2019-02-13,0,0,0,0,0
6,2019-02-14,0,0,0,0,0
6,2019-02-15,0,0,0,0,0
6,2019-02-16,0,0,0,0,0
6,2019-02-17,0,0,0,0,0
6,2019-02-18,0,0,0,0,0
6,2019-02-19,0,0,0,0,0
6,2019-02-20,0,0,0,0,0
6,2019-02-21,0,0,0,0,0
6,2019-02-22,0,0,0,0,0
6,2019-02-23,0,0,0,0,0
6,2019-02-24,0,0,0,0,0
6,2019-02-25,0,0,0,0,0
6,2019-02-26,0,0,0,0,0
6,2019-02-27,0,0,0,0,0
6,2019-02-28,0,0,0,0,0
6,2019-03-01,0,0,0,0,0
6,2019-03-02,0,0,0,0,0
6,2019-03-03,0,0,0,0,0
6,2019-03-04,0,0,0,0,0
6,2019-03-05,0,0,0,0,0
6,2019-03-06,0,0,0,0,0
6,2019-03-07,0,0,0,0,0
6,2019-03-08,0,0,0,0,0
6,2019-03-09,0,0,0,0,0
6,2019-03-10,0,0,0,0,0
6,2019-03-11,0,0,0,0,0
6,2019-03-12,0,0,0,0,0
6,2019-03-13,0,0,0,0,0
6,2019-03-14,0,0,0,0,0
6,2019-03-15,0,0,0,0,0
6,2019-03-16,0,0,0,0,0
6,2019-03-17,0,0,0,0,0
6,2019-03-18,0,0,0,0,0
6,2019-03-19,0,0,0,0,0
6,2019-03-20,0,0,0,0,0
6,2019-03-21,0,0,0,0,0
6,2019-03-22,0,0,0,0,0
6,2019-03-23,0,0,0,0,0
6,2019-03-24,0,0,0,0,0
6,2019-03-25,0,0,0,0,0
6,2019-03-26,0,0,0,0,0
6,2019-03-27,0,0,0,0,0
6,2019-03-28,0,0,0,0,0
6,2019-03-29,0,0,0,0,0
6,2019-03-30,0,0,0,0,0
6,2019-03-31,0,0,0,0,0
6,2019-04-01,0,0,0,0,0
6,2019-04-02,0,0,0,0,0
6,2019-04-03,0,0,0,0,0
6,2019-04-04,0,0,0,0,0
6,2019-04-05,0,0,0,0,0
6,2019-04-06,0,0,0,0,0
6,2019-04-07,0,0,0,0,0
6,2019-04-08,0,0,0,0,0
6,2019-04-09,0,0,0,0,0
6,2019-04-10,0,0,0,0,0
6,2019-04-11,0,0,0,0,0
6,2019-04-12,0,0,0,0,0
6,2019-04-13,0,0,0,0,0
6,2019-04-14,0,0,0,0,0
6,2019-04-15,0,0,0,0,0
6,2019-04-16,0,0,0,0,0
6,2019-04-17,0,0,0,0,0
6,2019-04-18,0,0,0,0,0
6,2019-04-19,0,0,0,0,0
6,2019-04-20,0,0,0,0,0
6,2019-04-21,0,0,0,0,0
6,2019-04-22,0,0,0,0,0
6,2019-04-23,0,0,0,0,0
6,2019-04-24,0,0,0,0,0
6,2019-04-25,0,0,0,0,0
6,2019-04-26,0,0,0,0,0
6,2019-04-27,0,0,0,0,0
6,2019-04-28,0,0,0,0,0
6,2019-04-29,0,0,0,0,0
6,2019-04-30,0,0,0,0,0
6,2019-05-01,0,0,0,0,0
6,2019-05-02,0,0,0,0,0
6,2019-05-03,0,0,0,0,0
6,2019-05-04,0,0,0,0,0
6,2019-05-05,0,0,0,0,0
6,2019-05-06,0,0,0,0,0
6,2019-05-07,0,0,0,0,0
6,2019-05-09,0,0,0,0,0
6,2019-05-10,0,0,0,0,0
6,2019-05-11,0,0,0,0,0
6,2019-05-12,0,0,0,0,0
6,2019-05-13,0,0,0,0,0
6,2019-05-14,0,0,0,0,0
6,2019-05-15,0,0,0,0,0
6,2019-05-16,0,0,0,0,0
6,2019-05-17,0,0,0,0,0
6,2019-05-18,0,0,0,0,0
6,2019-05-19,0,0,0,0,0
6,2019-05-20,0,0,0,0,0
6,2019-05-21,0,0,0,0,0
6,2019-05-22,0,0,0,0,0
6,2019-05-23,0,0,0,0,0
6,2019-05-24,0,0,0,0,0
6,2019-05-25,0,0,0,0,0
6,2019-05-26,0,0,0,0,0
6,2019-05-27,0,0,0,0,0
6,2019-05-28,0,0,0,0,0
6,2019-05-29,0,0,0,0,0
6,2019-05-30,0,0,0,0,0
6,2019-05-31,0,0,0,0,0
6,2019-06-01,0,0,0,0,0
6,2019-06-02,0,0,0,0,0
6,2019-06-03,0,0,0,0,0
6,2019-06-04,0,0,0,0,0
6,2019-06-05,0,0,0,0,0
6,2019-06-06,0,0,0,0,0
6,2019-06-07,0,0,0,0,0
6,2019-06-08,0,0,0,0,0
6,2019-06-09,0,0,0,0,0
6,2019-06-10,0,0,0,0,0
6,2019-06-11,0,0,0,0,0
6,2019-06-12,0,0,0,0,0
6,2019-06-13,0,0,0,0,0
6,2019-06-14,0,0,0,0,0
6,2019-06-15,0,0,0,0,0
6,2019-06-16,0,0,0,0,0
6,2019-06-17,0,0,0,0,0
6,2019-06-18,0,0,0,0,0
6,2019-06-19,0,0,0,0,0
6,2019-06-20,0,0,0,0,0
6,2019-06-21,0,0,0,0,0
6,2019-06-22,0,0,0,0,0
6,2019-06-23,0,0,0,0,0
6,2019-06-24,0,0,0,0,0
6,2019-06-25,0,0,0,0,0
6,2019-06-26,0,0,0,0,0
6,2019-06-27,0,0,0,0,0
6,2019-06-28,0,0,0,0,0
6,2019-06-29,0,0,0,0,0
6,2019-06-30,0,0,0,0,0
6,2019-07-01,0,0,0,0,0
6,2019-07-02,0,0,0,0,0
6,2019-07-03,0,0,0,0,0
6,2019-07-04,0,0,0,0,0
